scenario_name	domain	implementation	agents	think_time_ms	payload_bytes	latency_ms	run_count	success_count	consensus_wall_mean	consensus_wall_variance	consensus_wall_stddev	consensus_wall_ci_low	consensus_wall_ci_high	consensus_wall_n	findings_emitted_mean	findings_emitted_variance	findings_emitted_stddev	findings_emitted_ci_low	findings_emitted_ci_high	findings_emitted_n	findings_received_mean	findings_received_variance	findings_received_stddev	findings_received_ci_low	findings_received_ci_high	findings_received_n	avg_propagation_mean	avg_propagation_variance	avg_propagation_stddev	avg_propagation_ci_low	avg_propagation_ci_high	avg_propagation_n	p95_propagation_mean	p95_propagation_variance	p95_propagation_stddev	p95_propagation_ci_low	p95_propagation_ci_high	p95_propagation_n
matrix-lat0-20ag-1024b	matrix	p2p-relay-stream	20	20	1024	0	2	2	4281	4470050	2114.249275747777	0	23276.776080581167	2	6630	8836808	2972.6769081082457	0	33338.442355439205	2	10097	17940050	4235.56961930742	0	48152.083184843206	2	2346	1916882	1384.51507756326	0	14785.374436715023	2	5908	15246242	3904.6436457121154	0	40989.83127657832	2
matrix-lat0-20ag-1024b	matrix	slim-group-session	20	20	1024	0	2	2	292	722	26.870057685088806	50.5821100126806	533.4178899873191	2	229	18	4.242640687119285	190.8813857914759	267.1186142085241	2	3888	39200	197.9898987322333	2109.131336935541	5666.868663064457	2	64.5	60.5	7.7781745930520225	0	134.3841260489608	2	121	882	29.698484809834994	0	387.8302994596685	2
matrix-lat0-20ag-4096b	matrix	p2p-relay-stream	20	20	4096	0	2	2	10136.5	479220.5	692.25753878163	3916.812781642482	16356.18721835751	2	13112.5	1829784.5	1352.6952724098653	959.0151698488971	25265.984830151094	2	13378.5	3182764.5	1784.0304089336594	0	29407.377274684375	2	5581.5	137812.5	371.23106012293744	2246.12125675414	8916.878743245856	2	9455	1146098	1070.559666716433	0	19073.596985284243	2
matrix-lat0-20ag-4096b	matrix	slim-group-session	20	20	4096	0	2	2	374	2	1.4142135623730951	361.2937952638253	386.7062047361747	2	259	72	8.48528137423857	182.76277158295179	335.23722841704813	2	4691.5	23980.5	154.8563850798539	3300.1705813888702	6082.829418611129	2	77.5	0.5	0.7071067811865476	71.14689763191265	83.85310236808735	2	185	392	19.79898987322333	7.113133693554147	362.88686630644565	2
matrix-lat0-20ag-10240b	matrix	p2p-relay-stream	20	20	10240	0	2	2	18396	11243282	3353.1003563866084	0	48522.411429470194	2	18431	288	16.97056274847714	18278.525543165902	18583.474456834098	2	12125.5	6811740.5	2609.931129359547	0	35574.80084061039	2	8409.5	1911012.5	1382.3937572197003	0	20829.81512961076	2	18017.5	4932940.5	2221.0223997069456	0	37972.59453816235	2
matrix-lat0-20ag-10240b	matrix	slim-group-session	20	20	10240	0	2	2	258.5	112.5	10.606601717798213	163.2034644786897	353.7965355213102	2	246.5	12.5	3.5355339059327378	214.73448815956323	278.2655118404367	2	4422.5	60.5	7.7781745930520225	4352.615873951039	4492.384126048961	2	39.5	24.5	4.949747468305833	0	83.97171657661141	2	85.5	364.5	19.091883092036785	0	257.03376393835833	2
matrix-lat0-30ag	matrix	p2p-relay-stream	30	20	0	0	2	2	32951.5	959439012.5	30974.812549876715	0	311249.1492340662	2	21725.5	12959140.5	3599.8806230207133	0	54069.14415593268	2	54372	1837877192	42870.469929778	0	439547.8903723996	2	14818.5	160079724.5	12652.261635770896	0	128494.56067218688	2	27607	448022178	21166.534388038115	0	217780.76628632663	2
matrix-lat0-30ag	matrix	slim-group-session	30	20	0	0	2	2	338.5	84.5	9.192388155425117	255.90966921486444	421.0903307851355	2	343	162	12.727922061357855	228.64415737442766	457.3558426255722	2	9558.5	163020.5	403.75797205751866	5930.878547822122	13186.121452177875	2	64.5	12.5	3.5355339059327378	32.73448815956324	96.26551184043673	2	161	72	8.48528137423857	84.76277158295179	237.23722841704813	2
matrix-lat0-30ag-1024b	matrix	p2p-relay-stream	30	20	1024	0	2	1	45939	0	0	45939	45939	1	26099	0	0	26099	26099	1	56478	0	0	56478	56478	1	21049	0	0	21049	21049	1	43718	0	0	43718	43718	1
matrix-lat0-30ag-1024b	matrix	slim-group-session	30	20	1024	0	2	2	338.5	480.5	21.920310216782973	141.5538265892921	535.4461734107077	2	360.5	480.5	21.920310216782973	163.5538265892921	557.4461734107077	2	9837.5	304980.5	552.2503961066936	4875.7270505237775	14799.272949476217	2	73.5	84.5	9.192388155425117	0	156.0903307851355	2	172.5	1300.5	36.062445840513924	0	496.5082207724546	2
matrix-lat0-30ag-4096b	matrix	p2p-relay-stream	30	20	4096	0	2	2	34718.5	31561512.5	5617.96337652712	0	85193.89831445395	2	27184.5	2249320.5	1499.7734828966672	13709.569877286725	40659.43012271326	2	36596	4004450	2001.1121907579295	18616.720298312794	54575.27970168719	2	15906	4923522	2218.901079363386	0	35842.03523105809	2	27732	68211200	8259.007204258874	0	101936.23565926019	2
matrix-lat0-30ag-4096b	matrix	slim-group-session	30	20	4096	0	2	1	275	0	0	275	275	1	391	0	0	391	391	1	10276	0	0	10276	10276	1	44	0	0	44	44	1	67	0	0	67	67	1
matrix-lat0-30ag-10240b	matrix	p2p-relay-stream	30	20	10240	0	2	1	47579	0	0	47579	47579	1	29485	0	0	29485	29485	1	28264	0	0	28264	28264	1	20596	0	0	20596	20596	1	39799	0	0	39799	39799	1
matrix-lat0-30ag-10240b	matrix	slim-group-session	30	20	10240	0	2	2	254	2888	53.74011537017761	0	736.8357799746383	2	378.5	84.5	9.192388155425117	295.90966921486444	461.0903307851355	2	9916.5	335380.5	579.1204537917824	4713.309160536458	15119.690839463536	2	43.5	84.5	9.192388155425117	0	126.09033078513549	2	100	1458	38.18376618407357	0	443.06752787671667	2
matrix-lat25-3ag	matrix	p2p-relay-stream	3	20	0	25	2	2	78.5	84.5	9.192388155425117	0	161.0903307851355	2	48	18	4.242640687119285	9.881385791475893	86.11861420852406	2	56.5	60.5	7.7781745930520225	0	126.3841260489608	2	17.5	4.5	2.1213203435596424	0	36.55930710426203	2	27.5	0.5	0.7071067811865476	21.146897631912648	33.85310236808735	2
matrix-lat25-3ag	matrix	slim-group-session	3	20	0	25	2	2	214	392	19.79898987322333	36.11313369355415	391.88686630644565	2	32.5	4.5	2.1213203435596424	13.440692895737946	51.55930710426203	2	57	50	7.0710678118654755	0	120.53102368087346	2	48.5	0.5	0.7071067811865476	42.14689763191265	54.85310236808735	2	63	8	2.8284271247461903	37.58759052765059	88.41240947234938	2
matrix-lat25-3ag-1024b	matrix	p2p-relay-stream	3	20	1024	25	2	2	75.5	40.5	6.363961030678928	18.322078687213832	132.6779213127861	2	46	2	1.4142135623730951	33.293795263825295	58.70620473617469	2	53	32	5.656854249492381	2.1751810553011808	103.82481894469876	2	16	2	1.4142135623730951	3.293795263825295	28.70620473617469	2	27	0	0	27	27	2
matrix-lat25-3ag-1024b	matrix	slim-group-session	3	20	1024	25	2	2	207	2	1.4142135623730951	194.2937952638253	219.7062047361747	2	31.5	0.5	0.7071067811865476	25.146897631912648	37.85310236808735	2	54.5	0.5	0.7071067811865476	48.14689763191265	60.85310236808735	2	48	0	0	48	48	2	61.5	0.5	0.7071067811865476	55.14689763191265	67.85310236808735	2
matrix-lat25-3ag-4096b	matrix	p2p-relay-stream	3	20	4096	25	2	2	82.5	12.5	3.5355339059327378	50.73448815956324	114.26551184043673	2	47.5	0.5	0.7071067811865476	41.14689763191265	53.85310236808735	2	59	32	5.656854249492381	8.17518105530118	109.82481894469876	2	17.5	0.5	0.7071067811865476	11.146897631912648	23.853102368087345	2	28	0	0	28	28	2
matrix-lat25-3ag-4096b	matrix	slim-group-session	3	20	4096	25	2	2	173.5	60.5	7.7781745930520225	103.61587395103913	243.3841260489608	2	33	2	1.4142135623730951	20.293795263825295	45.70620473617469	2	54	8	2.8284271247461903	28.58759052765059	79.41240947234938	2	38	8	2.8284271247461903	12.58759052765059	63.41240947234938	2	53	8	2.8284271247461903	27.58759052765059	78.41240947234938	2
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	3	20	10240	25	2	2	77	50	7.0710678118654755	13.468976319126476	140.53102368087346	2	46.5	4.5	2.1213203435596424	27.440692895737946	65.55930710426203	2	55.5	40.5	6.363961030678928	0	112.67792131278611	2	19	8	2.8284271247461903	0	44.41240947234938	2	29	2	1.4142135623730951	16.293795263825295	41.70620473617469	2
matrix-lat25-3ag-10240b	matrix	slim-group-session	3	20	10240	25	2	2	174.5	1860.5	43.1335136523794	0	562.0392444533281	2	32.5	4.5	2.1213203435596424	13.440692895737946	51.55930710426203	2	53	18	4.242640687119285	14.881385791475893	91.11861420852406	2	41	8	2.8284271247461903	15.58759052765059	66.41240947234938	2	61	98	9.899494936611665	0	149.94343315322283	2
